date,destination_country,change_index
1/6/20,Taiwan,-0.003876190747357010
1/6/20,South Korea,0.0036117550789082200
1/6/20,Maldives,0.0019455985958027300
1/6/20,Japan,0.00798401714507356
1/6/20,India,0.007697535647835710
1/6/20,China,-0.0036539558521533300
1/6/20,Thailand,0.002715169158600730
1/6/20,Malaysia,0.016998970786288500
1/6/20,Indonesia,-0.0007813925649592100
1/6/20,Singapore,-0.006713550034282630
1/13/20,India,-0.12630573143730400
1/13/20,Singapore,0.15658673644183000
1/13/20,Taiwan,0.09587527949782930
1/13/20,South Korea,-0.0011866198226899000
1/13/20,Maldives,-0.0943990830016555
1/13/20,Indonesia,0.06533584302085050
1/13/20,China,-0.09900067799977220
1/13/20,Malaysia,-0.10585640035604600
1/13/20,Thailand,0.06734867329380010
1/13/20,Japan,-0.04595147170504400
1/20/20,Maldives,-0.2735726664158760
1/20/20,Taiwan,0.09229612523186080
1/20/20,China,-0.33664585271479700
1/20/20,Thailand,0.09518009068356410
1/20/20,Japan,-0.020114730553719800
1/20/20,Indonesia,0.1239626267206910
1/20/20,Malaysia,-0.0340135182957603
1/20/20,India,-0.1376905169748180
1/20/20,Singapore,-0.01123122963579360
1/20/20,South Korea,-0.10015978556755700
1/27/20,China,-0.4396850154134040
1/27/20,Taiwan,-0.10636157532411800
1/27/20,India,-0.2369557986687960
1/27/20,Malaysia,-0.10082003685966600
1/27/20,Thailand,-0.0994881336203105
1/27/20,Singapore,-0.11918025215260800
1/27/20,Japan,-0.15568032588419300
1/27/20,Indonesia,0.06857073198678830
1/27/20,Maldives,-0.27046477678169800
1/27/20,South Korea,-0.24310941338293500
2/3/20,Taiwan,-0.1660949679495870
2/3/20,Maldives,-0.31442422248758700
2/3/20,India,-0.2926139414908250
2/3/20,Japan,-0.19212030618754100
2/3/20,China,-0.4030745484330170
2/3/20,Malaysia,-0.09411157243854200
2/3/20,Singapore,-0.15631359593029400
2/3/20,Thailand,-0.13141797009897800
2/3/20,Indonesia,0.04368470153765070
2/3/20,South Korea,-0.31716163947297700
2/10/20,Indonesia,-0.00674287592002118
2/10/20,Singapore,-0.2932553163774530
2/10/20,Malaysia,-0.21015717716186600
2/10/20,Taiwan,-0.2087646057303600
2/10/20,Maldives,-0.5100151747791670
2/10/20,China,-0.40728343445852200
2/10/20,Thailand,-0.22102688546523500
2/10/20,South Korea,-0.28333608163740600
2/10/20,India,-0.31987953036604300
2/10/20,Japan,-0.23571066466956200
2/17/20,Malaysia,-0.1465270380585920
2/17/20,Singapore,-0.38067814077475200
2/17/20,Thailand,-0.1965699931569440
2/17/20,Maldives,-0.3447917764172930
2/17/20,Taiwan,-0.23510895743686900
2/17/20,Japan,-0.3770609973559760
2/17/20,China,-0.4323232765042140
2/17/20,Indonesia,0.05063006576870820
2/17/20,South Korea,-0.4343199872604390
2/17/20,India,-0.3034755049304010
2/24/20,China,-0.43703875340448300
2/24/20,South Korea,-0.6044746639472160
2/24/20,Singapore,-0.4422406236591040
2/24/20,Malaysia,-0.17928771632306200
2/24/20,Taiwan,-0.2827380519305970
2/24/20,Japan,-0.5567378768891700
2/24/20,India,-0.30527967629645400
2/24/20,Thailand,-0.24736062566095000
2/24/20,Indonesia,-0.07660998195344450
2/24/20,Maldives,-0.4238682922776420
3/2/20,Thailand,-0.25321579419841300
3/2/20,Malaysia,-0.21772312392951900
3/2/20,Japan,-0.5580981212603830
3/2/20,Taiwan,-0.216540733511704
3/2/20,India,-0.36514966465961400
3/2/20,Maldives,-0.47982839721881600
3/2/20,Indonesia,-0.26366245380249700
3/2/20,Singapore,-0.383372018982692
3/2/20,South Korea,-0.5249868448696350
3/2/20,China,-0.43167146825533200
3/9/20,China,-0.43702336777145300
3/9/20,Thailand,-0.34285446897169900
3/9/20,Japan,-0.5452566463217870
3/9/20,South Korea,-0.4762898767161200
3/9/20,Malaysia,-0.18882136408402700
3/9/20,India,-0.5185402430713070
3/9/20,Indonesia,-0.36786314440514600
3/9/20,Maldives,-0.34748473486598900
3/9/20,Singapore,-0.18695720633361500
3/9/20,Taiwan,-0.1611495343884530
3/16/20,Singapore,-0.3400997418740570
3/16/20,Thailand,-0.6079341404422340
3/16/20,Indonesia,-0.5404358467362410
3/16/20,Japan,-0.5513251810665790
3/16/20,South Korea,-0.42637193851971400
3/16/20,Maldives,-0.9380664244101430
3/16/20,India,-0.6469311622683860
3/16/20,Taiwan,-0.26592473943739400
3/16/20,Malaysia,-0.6422794758863640
3/16/20,China,-0.39561373017221400
3/23/20,Indonesia,-0.6121560278874150
3/23/20,Taiwan,-0.28404414667078300
3/23/20,Thailand,-0.7232808964528200
3/23/20,China,-0.42627513356359600
3/23/20,Japan,-0.6515607847931820
3/23/20,South Korea,-0.5001184116186730
3/23/20,Singapore,-0.4873260500446920
3/23/20,Malaysia,-0.7164743615613130
3/23/20,India,-0.7572114404199520
3/23/20,Maldives,-1.0618490731919500
3/30/20,Thailand,-0.7311076795677090
3/30/20,Malaysia,-0.7015553297513980
3/30/20,India,-0.7309916103305580
3/30/20,Taiwan,-0.2742892281304480
3/30/20,China,-0.3856117257126870
3/30/20,Maldives,-1.0066246093032100
3/30/20,Singapore,-0.4754088569915510
3/30/20,Japan,-0.744693244462299
3/30/20,Indonesia,-0.570557326048066
3/30/20,South Korea,-0.5193674210296200
4/6/20,China,-0.4380667634750910
4/6/20,Indonesia,-0.5575933626525890
4/6/20,Maldives,-0.5458316184084220
4/6/20,South Korea,-0.5211217986272420
4/6/20,Thailand,-0.7440706213873670
4/6/20,Japan,-0.7789113332726220
4/6/20,Singapore,-0.7436649771343120
4/6/20,Taiwan,-0.2800315195402700
4/6/20,Malaysia,-0.6954819455504170
4/6/20,India,-0.6397775722748480
4/13/20,Thailand,-0.7255646299213530
4/13/20,Japan,-0.7802969802047420
4/13/20,South Korea,-0.5052685924230720
4/13/20,India,-0.6733418137610210
4/13/20,Taiwan,-0.245130213498159
4/13/20,Singapore,-0.7531663870151130
4/13/20,Maldives,-0.860651484217231
4/13/20,China,-0.46239496826007700
4/13/20,Malaysia,-0.6868483993850460
4/13/20,Indonesia,-0.5371783041476150
4/20/20,Thailand,-0.7203304871816240
4/20/20,Malaysia,-0.6810305552254150
4/20/20,Taiwan,-0.20630648147308600
4/20/20,Maldives,-0.9268311409957720
4/20/20,China,-0.49219955570386300
4/20/20,India,-0.6554159673203230
4/20/20,South Korea,-0.3652268555715190
4/20/20,Singapore,-0.7527009618121100
4/20/20,Japan,-0.7774875222116500
4/20/20,Indonesia,-0.5617831530950260
4/27/20,Indonesia,-0.551100884456376
4/27/20,Thailand,-0.7182126238520840
4/27/20,Malaysia,-0.6834081194827760
4/27/20,South Korea,-0.19904472842345
4/27/20,Singapore,-0.7279653033922440
4/27/20,Taiwan,-0.20941995430306600
4/27/20,India,-0.6669201142217000
4/27/20,China,-0.455985213574648
4/27/20,Maldives,-0.9275722281875070
4/27/20,Japan,-0.7670610624581220
5/4/20,Thailand,-0.7332336717265560
5/4/20,Maldives,-0.9495688845489160
5/4/20,Malaysia,-0.6721302240690710
5/4/20,India,-0.7079127042657700
5/4/20,South Korea,-0.39909570716354500
5/4/20,Taiwan,-0.2276560317650310
5/4/20,China,-0.4299365066532830
5/4/20,Singapore,-0.7439876345761200
5/4/20,Japan,-0.7729511495708060
5/4/20,Indonesia,-0.5678737027099270
5/11/20,Japan,-0.7558430871676400
5/11/20,Thailand,-0.7563576546231690
5/11/20,Taiwan,-0.21365537426346200
5/11/20,Malaysia,-0.6900710029777650
5/11/20,South Korea,-0.4683988138000710
5/11/20,Maldives,-1.0210862938098700
5/11/20,India,-0.7805517429949700
5/11/20,Singapore,-0.7922889983689280
5/11/20,Indonesia,-0.6073236305850560
5/11/20,China,-0.358842572284845
5/18/20,Indonesia,-0.5963710779128200
5/18/20,Thailand,-0.7190758728094440
5/18/20,China,-0.28939616731774000
5/18/20,Malaysia,-0.6656912346132700
5/18/20,South Korea,-0.6327678190861870
5/18/20,Taiwan,-0.18177392036434800
5/18/20,Maldives,-1.072784909602180
5/18/20,India,-0.7850995856023310
5/18/20,Singapore,-0.7847492901096830
5/18/20,Japan,-0.7646602361232010
5/25/20,China,-0.2591696507951980
5/25/20,Thailand,-0.7030572613043650
5/25/20,Malaysia,-0.6539644990560470
5/25/20,India,-0.7813572662942300
5/25/20,Maldives,-1.1027535105991600
5/25/20,South Korea,-0.3630377277948670
5/25/20,Taiwan,-0.16059793435702800
5/25/20,Singapore,-0.7858928635052630
5/25/20,Indonesia,-0.5584122605256040
5/25/20,Japan,-0.6100260578513980
6/1/20,Thailand,-0.6325311712016120
6/1/20,Japan,-0.5850645219662810
6/1/20,Malaysia,-0.5680660477629290
6/1/20,China,-0.14271027878868800
6/1/20,South Korea,-0.379730288889796
6/1/20,India,-0.6700855135275940
6/1/20,Singapore,-0.7859851099470850
6/1/20,Taiwan,-0.139595919940938
6/1/20,Maldives,-1.0863206750434700
6/1/20,Indonesia,-0.6064320736972730
6/8/20,Indonesia,-0.6062743854995140
6/8/20,Japan,-0.50030132003323
6/8/20,China,-0.02853279717303490
6/8/20,South Korea,-0.32916957940527800
6/8/20,Thailand,-0.5727147955384680
6/8/20,Malaysia,-0.226244941979626
6/8/20,India,-0.6401367974561350
6/8/20,Taiwan,-0.15804763498966800
6/8/20,Maldives,-1.109876870256750
6/8/20,Singapore,-0.7657191286768870
6/15/20,Thailand,-0.634736476543792
6/15/20,Japan,-0.367075461999394
6/15/20,Maldives,-1.13627081913872
6/15/20,Malaysia,-0.3977194714534960
6/15/20,China,0.03486651160432060
6/15/20,India,-0.7540296911951250
6/15/20,South Korea,-0.12898455377500900
6/15/20,Singapore,-0.6992599978058710
6/15/20,Taiwan,-0.16075042720928200
6/15/20,Indonesia,-0.6165182971763250
6/22/20,Japan,-0.3070327886264120
6/22/20,Thailand,-0.5554535138586910
6/22/20,Malaysia,-0.2942560122386860
6/22/20,China,0.1132108497806550
6/22/20,Maldives,-1.1557724822561500
6/22/20,South Korea,-0.30003727780058000
6/22/20,India,-0.7608209526227820
6/22/20,Singapore,-0.7239695356453120
6/22/20,Taiwan,-0.14498373603888100
6/22/20,Indonesia,-0.6269884965307290
6/29/20,Thailand,-0.5573117061417570
6/29/20,Japan,-0.4027289177701980
6/29/20,Malaysia,-0.06296998065125800
6/29/20,South Korea,-0.23091045523698300
6/29/20,Taiwan,-0.17006649744895400
6/29/20,India,-0.7591660496115570
6/29/20,Singapore,-0.6737674035154360
6/29/20,China,0.10153671353793700
6/29/20,Maldives,-1.1281302958762400
6/29/20,Indonesia,-0.6055881630997650
7/6/20,Japan,-0.38772808182621800
7/6/20,Thailand,-0.5974941589384110
7/6/20,Maldives,-1.2877107899238800
7/6/20,Malaysia,0.013406399163442200
7/6/20,South Korea,-0.19698831336081600
7/6/20,China,-0.11409274641769900
7/6/20,Singapore,-0.6117220352177130
7/6/20,India,-0.7564512269658580
7/6/20,Taiwan,-0.16320438501450900
7/6/20,Indonesia,-0.5494996708536700
7/13/20,Thailand,-0.49169810403015400
7/13/20,Maldives,-1.1526382925554300
7/13/20,Malaysia,0.019774442062260500
7/13/20,India,-0.7603096146657000
7/13/20,South Korea,-0.14805831635680200
7/13/20,Taiwan,-0.13401135903160400
7/13/20,China,-0.3033620688354760
7/13/20,Singapore,-0.2711165636911650
7/13/20,Indonesia,-0.5411266282505130
7/13/20,Japan,-0.3694031025073860
7/20/20,Maldives,-1.093461202994440
7/20/20,Thailand,-0.4828444084858560
7/20/20,China,-0.32623369732324900
7/20/20,Japan,-0.33345196262433600
7/20/20,Malaysia,-0.10076913108667100
7/20/20,South Korea,-0.04959663131764850
7/20/20,Taiwan,-0.10585653134865000
7/20/20,Singapore,-0.275362384953384
7/20/20,India,-0.7549541471176660
7/20/20,Indonesia,-0.5283010585313080
7/27/20,Japan,-0.44585447410925900
7/27/20,Maldives,-1.0704802526390900
7/27/20,Thailand,-0.5724688454600230
7/27/20,Malaysia,-0.19627194797318000
7/27/20,South Korea,-0.06956296510692240
7/27/20,Taiwan,-0.14779814169042100
7/27/20,India,-0.7093220689354450
7/27/20,Singapore,-0.3105347776830170
7/27/20,China,-0.33496482806562500
7/27/20,Indonesia,-0.49085142321369700
8/3/20,Japan,-0.47659331982076300
8/3/20,Maldives,-0.9494982723575240
8/3/20,Thailand,-0.5909792295079710
8/3/20,Malaysia,-0.10753361595603400
8/3/20,South Korea,-0.1432616577512100
8/3/20,Taiwan,-0.1663060395192370
8/3/20,Singapore,-0.35859439418567900
8/3/20,India,-0.5530595971134860
8/3/20,China,-0.27618520397722200
8/3/20,Indonesia,-0.5381115784548020
8/10/20,Indonesia,-0.46721517147764600
8/10/20,Japan,-0.4806119157313590
8/10/20,Thailand,-0.5742065153062950
8/10/20,India,-0.4267121598820820
8/10/20,Malaysia,-0.059492867132343700
8/10/20,Maldives,-0.9831909788411070
8/10/20,South Korea,-0.07716057783804640
8/10/20,China,-0.23270084795160600
8/10/20,Taiwan,-0.11293034911655000
8/10/20,Singapore,-0.24132127220434100
8/17/20,Japan,-0.5349917005394850
8/17/20,China,-0.24420355528705200
8/17/20,Thailand,-0.5244041149081930
8/17/20,India,-0.4184573245952430
8/17/20,South Korea,-0.3113486479037450
8/17/20,Malaysia,0.05015358485609850
8/17/20,Maldives,-0.999323835947279
8/17/20,Taiwan,0.01270478932222560
8/17/20,Singapore,-0.2756918133052700
8/17/20,Indonesia,-0.3962810184649270
8/24/20,Indonesia,-0.3855624879827760
8/24/20,Thailand,-0.5366475769103670
8/24/20,Malaysia,0.11802671191158500
8/24/20,China,-0.28309302947622900
8/24/20,South Korea,-0.297072437576523
8/24/20,India,-0.4217264019205100
8/24/20,Singapore,-0.25279888588405700
8/24/20,Maldives,-0.9333927872358240
8/24/20,Taiwan,-0.014053069096561300
8/24/20,Japan,-0.5216257675180010
8/31/20,Japan,-0.40043014763883100
8/31/20,Thailand,-0.5272557654633350
8/31/20,China,-0.1613264167511670
8/31/20,Maldives,-0.9107929838454350
8/31/20,Malaysia,0.408251777451092
8/31/20,South Korea,-0.20269530576022000
8/31/20,Singapore,-0.20204016798690700
8/31/20,Taiwan,-0.1210746917954740
8/31/20,India,-0.35275169820220200
8/31/20,Indonesia,-0.4659267909953330
9/7/20,China,-0.20697506402996500
9/7/20,Japan,-0.14993297778802300
9/7/20,Thailand,-0.6034786183058430
9/7/20,Malaysia,-0.023561796930994900
9/7/20,Maldives,-0.8801675210695830
9/7/20,South Korea,-0.23952717563292300
9/7/20,Taiwan,0.020179001926933000
9/7/20,Singapore,-0.22640855053880500
9/7/20,India,-0.32961352590736100
9/7/20,Indonesia,-0.5381133165916130
9/14/20,Thailand,-0.6601961230203220
9/14/20,Japan,0.04009362910937580
9/14/20,Maldives,-0.9145960696025990
9/14/20,China,-0.2700954286570840
9/14/20,South Korea,-0.3315236329189510
9/14/20,Malaysia,-0.016117845234089000
9/14/20,India,-0.35692557901340000
9/14/20,Singapore,-0.3000644439089570
9/14/20,Taiwan,-0.08547101214406170
9/14/20,Indonesia,-0.6175669671080520
9/21/20,Indonesia,-0.6190198728959110
9/21/20,Maldives,-0.6640393367723710
9/21/20,Japan,-0.048012681275765600
9/21/20,Thailand,-0.6416721544950460
9/21/20,India,-0.4003687358626880
9/21/20,Malaysia,-0.15594655945157000
9/21/20,South Korea,-0.5927195574610930
9/21/20,China,-0.4081426938543390
9/21/20,Singapore,-0.3728780944688970
9/21/20,Taiwan,-0.1693635670566940
9/28/20,Japan,0.22076198272662700
9/28/20,Thailand,-0.6405131156418220
9/28/20,Maldives,-0.7309043571623200
9/28/20,Malaysia,-0.3550729890841650
9/28/20,South Korea,-0.446754392793915
9/28/20,India,-0.3489165996071060
9/28/20,Taiwan,-0.16540083639123500
9/28/20,Singapore,-0.37504547242321400
9/28/20,Indonesia,-0.5727102535725290
9/28/20,China,-0.37366253969059100
10/5/20,Thailand,-0.613854428905624
10/5/20,Japan,0.7034850633290990
10/5/20,Malaysia,-0.43479793561424700
10/5/20,South Korea,-0.23343150465701200
10/5/20,Singapore,-0.27993843834943200
10/5/20,India,-0.25867406044915400
10/5/20,Taiwan,-0.09253248140599060
10/5/20,Maldives,-0.4969111489968340
10/5/20,Indonesia,-0.5238852053163130
10/5/20,China,-0.3160704832568880
10/12/20,Thailand,-0.652415445890164
10/12/20,Japan,0.5983099276000560
10/12/20,South Korea,-0.2614776677249530
10/12/20,Malaysia,-0.5516603495410590
10/12/20,Singapore,-0.2545010512375040
10/12/20,Indonesia,-0.47745229480817400
10/12/20,Taiwan,0.008672432257349480
10/12/20,India,-0.24957003322928800
10/12/20,China,-0.3036887110330470
10/12/20,Maldives,-0.6900053330233790